PID,Question 1 (5.0 pts),Question 2 (6.0 pts),Question 3 (8.0 pts),Question 4 (6.0 pts),Question 5 (10.0 pts),Question 6 (6.0 pts),Question 7 (10.0 pts),Question 8 (6.0 pts),Question 9 (9.0 pts),Question 10 (10.0 pts),Question 11 (4.0 pts),Question 12 (7.0 pts)
A99860066,5.0,6.0,6.0,6.0,10.0,5.0,10.0,6.0,5.0,6.0,4.0,7.0
A99663899,5.0,6.0,8.0,6.0,7.0,5.0,10.0,6.0,6.0,10.0,4.0,7.0
A99642988,5.0,6.0,8.0,6.0,9.0,6.0,9.0,6.0,8.0,6.0,4.0,7.0
A99460730,5.0,6.0,8.0,6.0,6.0,4.0,9.0,6.0,9.0,5.0,4.0,5.0
A99381333,5.0,6.0,8.0,6.0,8.0,4.0,4.0,6.0,5.0,7.0,4.0,7.0
A99855328,5.0,6.0,8.0,6.0,10.0,6.0,8.0,6.0,9.0,7.0,4.0,7.0
A99703408,5.0,4.0,6.0,6.0,9.0,6.0,10.0,4.0,8.0,7.0,4.0,6.0
A99408920,4.0,5.0,8.0,6.0,10.0,2.0,10.0,6.0,5.0,10.0,4.0,7.0
A99598252,5.0,5.0,8.0,6.0,4.0,6.0,10.0,6.0,2.0,4.0,1.0,7.0
A99291854,4.0,5.0,8.0,6.0,6.0,6.0,9.0,5.0,2.0,9.0,2.0,4.0
A99745042,5.0,6.0,8.0,6.0,10.0,6.0,8.0,6.0,9.0,7.0,4.0,7.0
A99965859,5.0,6.0,8.0,6.0,8.0,6.0,9.0,6.0,9.0,9.0,4.0,7.0
A99129455,3.0,6.0,8.0,5.0,4.0,4.0,10.0,2.0,6.0,10.0,2.0,5.0
A99440253,5.0,6.0,8.0,5.0,5.0,1.0,8.0,2.0,8.0,7.0,4.0,2.0
A99447514,5.0,6.0,8.0,4.0,6.0,6.0,9.0,6.0,5.0,10.0,4.0,7.0
A99241737,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,9.0,4.0,7.0
A99282192,5.0,6.0,8.0,5.0,9.0,6.0,8.0,5.0,8.0,5.0,3.0,7.0
A99361565,5.0,6.0,5.0,6.0,8.0,4.0,8.0,6.0,9.0,10.0,4.0,7.0
A99483063,4.0,6.0,2.0,3.0,5.0,6.0,6.0,3.0,6.0,5.0,4.0,7.0
A99717124,5.0,6.0,4.0,6.0,6.0,6.0,5.0,5.0,9.0,10.0,4.0,7.0
A99903355,5.0,6.0,8.0,3.0,5.0,6.0,10.0,5.0,8.0,5.0,4.0,5.0
A99379415,4.0,2.0,8.0,6.0,10.0,2.0,10.0,6.0,8.0,4.0,4.0,6.0
A99733449,5.0,5.0,8.0,6.0,10.0,6.0,9.0,6.0,9.0,5.0,4.0,7.0
A99033883,5.0,6.0,6.0,6.0,8.0,6.0,9.0,6.0,9.0,10.0,4.0,7.0
A99434027,4.0,4.0,8.0,6.0,4.0,6.0,9.0,4.0,9.0,8.0,4.0,7.0
A99234372,5.0,4.0,8.0,5.0,10.0,6.0,6.0,6.0,5.0,8.0,4.0,7.0
A99846618,5.0,5.0,8.0,6.0,4.0,5.0,10.0,6.0,9.0,6.0,4.0,7.0
A99999789,5.0,6.0,8.0,6.0,10.0,6.0,7.0,6.0,9.0,10.0,4.0,7.0
A99580574,5.0,4.0,6.0,6.0,9.0,3.0,10.0,6.0,9.0,8.0,4.0,7.0
A99669980,4.0,5.0,4.0,2.0,10.0,2.0,4.0,4.0,9.0,3.0,4.0,3.0
A99573583,5.0,6.0,8.0,6.0,9.0,6.0,4.0,5.0,7.0,9.0,4.0,7.0
A99269295,,,,,,,,,,,,
A99331153,5.0,6.0,8.0,5.0,10.0,2.0,5.0,6.0,3.0,8.0,1.0,1.0
A99915605,5.0,3.0,7.0,4.0,9.0,6.0,4.0,6.0,8.0,4.0,4.0,7.0
A99067910,5.0,5.0,7.0,6.0,10.0,5.0,9.0,6.0,9.0,4.0,4.0,4.0
A99075184,3.0,4.0,8.0,6.0,10.0,6.0,5.0,4.0,9.0,5.0,4.0,5.0
A99453874,5.0,5.0,8.0,6.0,5.0,5.0,10.0,4.0,4.0,7.0,4.0,7.0
A99861848,5.0,6.0,8.0,4.0,10.0,6.0,10.0,5.0,6.0,4.0,4.0,7.0
A99060338,5.0,6.0,8.0,6.0,4.0,5.0,9.0,5.0,9.0,3.0,4.0,7.0
A99853534,5.0,5.0,8.0,6.0,9.0,5.0,10.0,6.0,8.0,5.0,4.0,5.0
A99055110,4.0,6.0,5.0,6.0,9.0,3.0,8.0,4.0,4.0,10.0,2.0,2.0
A99695471,5.0,6.0,8.0,6.0,9.0,6.0,6.0,6.0,7.0,5.0,4.0,5.0
A99881759,,,,,,,,,,,,
A99296216,5.0,6.0,7.0,6.0,9.0,6.0,5.0,6.0,9.0,10.0,4.0,5.0
A99258671,4.0,5.0,7.0,6.0,7.0,6.0,8.0,6.0,7.0,7.0,4.0,6.0
A99833033,2.0,4.0,8.0,6.0,7.0,6.0,5.0,6.0,3.0,10.0,4.0,7.0
A99772423,5.0,6.0,8.0,6.0,5.0,6.0,8.0,6.0,8.0,10.0,4.0,7.0
A99329157,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,7.0,6.0,4.0,7.0
A99970560,5.0,4.0,7.0,5.0,5.0,6.0,5.0,6.0,9.0,7.0,4.0,4.0
A99073327,5.0,6.0,8.0,6.0,9.0,4.0,10.0,6.0,9.0,6.0,4.0,7.0
A99385185,3.0,5.0,8.0,4.0,2.0,4.0,7.0,5.0,9.0,9.0,2.0,2.0
A99622715,4.0,2.0,6.0,5.0,4.0,6.0,10.0,6.0,9.0,2.0,4.0,7.0
A99354724,5.0,6.0,8.0,6.0,8.0,6.0,10.0,6.0,9.0,6.0,4.0,6.0
